Store name          Site URL
Parfym.se           http://www.parfym.se
Bangerhead          https://www.bangerhead.se/
Beauty Planet       http://www.beautyplanet.se
Bodystore           http://www.bodystore.com
Eleven              http://eleven.se/
Gymgrossisten       http://www.gymgrossisten.com/
HP Store            http://www8.hp.com/se/sv/home.html
InkClub             http://www.inkclub.com
CDON.COM            http://cdon.se
Footway             http://www.footway.se
Lekmer              http://www.lekmer.se
Lyko                http://www.lyko.se
Misco               http://www.misco.se
NELLY.COM           http://www.nelly.com
Uppercut            http://www.uppercut.se
Yves Rocher         http://www.yves-rocher.se
Bonprix             http://www.bonprix.se/
Shopping4net        http://www.shopping4net.se/
Philips             http://www.philips.se
Microsoft Store     http://www.microsoftstore.se/shop/
Boozt               http://www.boozt.com/se/sv
Bygghemma           http://www.bygghemma.se
Babyshop            http://www.babyshop.se
MQ                  http://www.mq.se
Sony                http://www.sony.se
The Body Shop       http://www.thebodyshop.se
ECCO                http://www.ecco.se
Sleepo              http://www.sleepo.se
Skånska Byggvaror   http://www.skanskabyggvaror.se/
Sparmax             http://www.sparmax.se/
Buildor             http://www.buildor.se/
NLY Man             http://nlyman.com/se/
Mister Auto         http://www.mister-auto.se/sv/
Outnorth            http://www.outnorth.se/
Unisport            http://www.unisportstore.se/
Staples             http://www.staples.se
Daniel Wellington   https://www.danielwellington.com/se/
Raglady             http://www.raglady.se
Fyndiq              http://www.fyndiq.se
Zalando             http://www.zalando.se
Sunglasses Shop     http://www.sunglasses-shop.co.uk/solglasogon/home.aspx
RoyalDesign         http://royaldesign.se
Stylepit            http://www.stylepit.se
Wakakuu             http://www.wakakuu.com/se/
Boohoo.com          http://www.boohoo.com
Bluebox             http://www.bluebox.se/
Tailor Store        https://www.tailorstore.com/
Hedbergs Guld       http://www.hedbergsguld.se
24.se               http://www.24.se
MyTrendyPhone       http://www.mytrendyphone.se
Patroner.se         http://www.patroner.se
Bagaren och Kocken  http://bagarenochkocken.se
ELDIREKT.se         http://www.eldirekt.se
Ellos               http://www.ellos.se
Tretti.se           http://www.tretti.se
Väskan              http://www.xn--vskan-gra.com/
Stadium             http://www.stadium.se
BYGGmax             http://www.byggmax.se
Stayhard            http://www.stayhard.se/
Teknikproffset      http://www.teknikproffset.se
Cykelkraft          http://www.cykelkraft.se/
Frapp               http://www.frapp.se/
Drytrend.com        http://www.drytrend.com/
Apotek Hjärtat      http://www.apotekhjartat.se
Mekanika            https://www.mekanika.se/
Torebrings          http://www.torebrings.se
Spartoo             http://www.spartoo.se
Wattväktarna        http://www.wattvaktarna.se
Runns               http://www.runns.se
Hilmas pyssel       http://www.hilmaspyssel.se/
Billigteknik        http://www.billigteknik.se
Hemvaruhuset.se     http://www.hemvaruhuset.se/
Furniturebox        http://www.furniturebox.se
Paapi               http://www.paapi.se
Misterbling         http://www.misterbling.se/
Smyckoo             http://www.smyckoo.se/
Textilgallerian     http://www.textilgallerian.se/
Manky               http://www.manky.se
Belysningsdesign    http://www.belysningsdesign.se
Topformula          http://www.topformula.se/
mrboard.se          http://www.mrboard.se/
Sporttema           http://www.sporttema.se/
Kino Shop           http://www.kinoshopping.se
Brallis             http://www.brallis.se
Love of Brands      http://www.loveofbrands.com/sv/
Träningspartner     http://www.traningspartner.se/
Shoppingaim         http://www.shoppingaim.se/
Smarta Saker        http://www.smartasaker.se
Kontorsmagasinet    http://www.kontorsmagasinet.se
Uret.se             http://www.uret.se/
Däckonline          http://www.dackonline.se/
Giga-dack.se        http://www.giga-dack.se
Passion of Sweden   http://www.passionofsweden.se
Amorlina            http://www.amorlina.se/
Lastexperten        http://www.lastexperten.se
MaxFPS.se           http://www.maxfps.se
Sweef               http://sweef.se/
SmartBuyGlasses     http://www.smartbuyglasses.se/
Conrad              http://www.conrad.se
Fähallen Jakt       http://www.fahallenjakt.se/
Fashionisland       http://www.fashionisland.se
TheHome.se          http://thehome.se/
Dryckesglas.se      http://www.dryckesglas.se/
Blomus-Sverige.se   http://www.blomus-sverige.se/
Baradesign.se       http://www.baradesign.se/
Gobaby              http://www.gobaby.se/
Barshopen.com       http://www.barshopen.com/
Vassaknivar         http://www.vassaknivar.se/
CleanCut.se         http://www.cleancut.se/
Sportgymbutiken     http://www.sportgymbutiken.se/
Route62             http://www.route62.se/
Hemgallerian.se     http://www.hemgallerian.se
Balders Hage        http://www.baldershage.se/
Tacticalstore       http://www.tacticalstore.se/se/
Träningsmaskiner    http://www.traningsmaskiner.com/
Safira              http://www.safira.se/sv/
Innebandybutiken    http://www.innebandybutiken.se/
ArtGlassVista       http://www.artglassvista.se/
CarpetVista         http://www.carpetvista.se/
RugVista            http://www.rugvista.se/
Vuxen.se            http://www.vuxen.se
Lantbutiken.se      http://www.lantbutiken.se
Martinshop          http://www.martinshop.se
Modekungen          http://www.modekungen.se
Mitt plagg          http://www.mittplagg.se/
Joyland             http://www.joyland.se
Mobiman             http://www.mobiman.se
Amazing Style       http://www.amazingstyle.se/
NordicFeel          http://www.nordicfeel.se/
PetsOnline          http://www.petsonline.se/
Bra Sommarmöbler    http://shop.brasommarmobler.se
Miinto              http://www.miinto.se/
Handla Digitalt     http://www.handladigitalt.se/
Supportersplace     https://www.supportersplace.com/se/
zooplus             http://www.zooplus.se
Donna Beauty        http://www.donnabeauty.se/index.html
PoolCare            http://www.poolcare.se/
MONNIER Frères      http://www.monnierfreres.com/
Verner & Verner     http://www.verner-verner.se
Sweden Rock Shop    http://www.swedenrock-online.se/
Clearly             http://www.clearlyofsweden.se/
SC Styling          http://www.scstyling.com/
Kontorsgiganten     http://www.kontorsgiganten.se/
Danskdesign         http://www.danskdesign.nu/
Texstyle            http://www.texstyle.se
Ambinesshome        http://www.ambinesshome.se/
Joy                 http://www.joyshop.se/
Husochstuga         http://www.husochstuga.se
Kakelhörnan         http://www.kakelhornan.se
ABC Leksaker        http://www.abcleksaker.se/
Byggleksaker        http://www.byggleksaker.se
Pusselbutiken       http://www.pusselbutiken.se
World of Boardgames http://www.worldofboardgames.com
VidaXL              http://www.vidaxl.se
Watchonline.se      http://www.watchonline.se
Klubbkompis         http://www.klubbkompis.se/
Designonline.se     http://www.designonline.se
Aldora              http://www.aldora.se
Room99              http://www.Room99.se
Presidentor.se      http://www.Presidentor.se
Gitarren.se         http://www.gitarren.se
Mattconcept.se      http://www.mattconcept.se/
Humanhabit.se       http://www.humanhabit.se/
Pärlgrossisten.se   http://www.parlgrossisten.se/
Confident Living    http://confidentliving.se/
Morkigolf           http://www.morkigolf.se/
Zingland.se         http://zingland.se
Bloomify.se         http://www.bloomify.se/
Hemfint.se          http://www.hemfint.se
Trendrum.se         http://www.trendrum.se
Skapamer.se         http://www.skapamer.se
Dammsugaren.se      http://www.dammsugaren.se/
Arctic Hen          http://www.arctichen.se/
Getcamping.se       http://www.getcamping.se/
Clearlife           http://www.clearlife.se/
Onetex              http://www.onetex.se
XXL                 http://www.xxl.se
Orsa Fiskecenter    http://www.ofc.nu/
LAGAochDUKA.se      http://www.lagaochduka.se/
Tieroom             http://www.tieroom.se/
Mykids.se           http://www.mykids.se/
Rumstid             http://www.rumstid.se/
Lamporonline.se     http://www.lamporonline.se/
Designhemmet        http://designhemmet.se/
Peter Hahn          http://www.peterhahn.se/
LitenLeker.se       http://www.litenleker.se/
PlickoPlock         http://www.plickoplock.se/
Yogagrossisten      http://www.yogagrossisten.se/
Uniggardin          http://www.uniggardin.se/
Vivea.se            http://www.vivea.se/
La Vanille          http://www.lavanille.com/
More Than Love      http://www.morethanlove.se
Aroma Creative      http://www.aromacreative.se
Ministyle           http://www.ministyle.se
Rogers Fjällbacka   http://www.rogersfjallbacka.se/
RabattPris          http://www.rabattpris.com/
Good Days           http://www.gooddays.se
Stilrenaklockor.se  http://stilrenaklockor.se/
SWEdala Outlet      http://www.swedalaoutlet.se
Klockor365          http://www.klockor365.com
Lite-House          http://www.lite-house.dk
Gnagarboden         http://www.gnagarboden.se/
Gränsbygden         http://www.gransbygden.se/
Good Balance        http://www.goodbalance.se/
Klockgiganten       http://www.klockgiganten.se/
